nombre,cargo,fecha_inicio,fecha_fin
el presidente del Gobierno anuncia la,El 4 de septiembre de 2024,29 de diciembre de 2023,6 de septiembre de 2024
segunda remodelación,del Gabinete de la XV legislatura.,29 de diciembre de 2023,6 de septiembre de 2024
cesa en su cargo y es sustituido por Óscar López,"Como consecuencia del nombramiento del ministro para la Transformación Digital y de la Función Pública, José Luis Escrivá, como nuevo gobernador del Banco de España",29 de diciembre de 2023,6 de septiembre de 2024
El Boletín Oficial del Estado (BOE) publica el,Real Decreto,29 de diciembre de 2023,6 de septiembre de 2024
con el nombramiento el 6 de septiembre. El ministro,promete su cargo ante el rey,29 de diciembre de 2023,6 de septiembre de 2024
el mismo día en el Palacio de la Zarzuela.,El último Gabinete queda compuesto de la siguiente manera:,29 de diciembre de 2023,6 de septiembre de 2024
Pedro Sánchez Pérez-Castejón,Presidente del Gobierno,29 de diciembre de 2023,6 de septiembre de 2024
María Jesús Montero Cuadrado,Vicepresidenta primera y ministra de Hacienda,29 de diciembre de 2023,6 de septiembre de 2024
Yolanda Díaz Pérez,Vicepresidenta segunda y ministra de Trabajo y Economía Social,29 de diciembre de 2023,6 de septiembre de 2024
Teresa Ribera Rodríguez,Vicepresidenta tercera y ministra para la Transición Ecológica y el Reto Demográfico,29 de diciembre de 2023,6 de septiembre de 2024
José Manuel Albares,"Ministro de Asuntos Exteriores, Unión Europea y Cooperación",29 de diciembre de 2023,6 de septiembre de 2024
Félix Bolaños,"Ministro de la Presidencia, Justicia y Relaciones con las Cortes",29 de diciembre de 2023,6 de septiembre de 2024
Margarita Robles,Ministra de Defensa,29 de diciembre de 2023,6 de septiembre de 2024
Fernando Grande-Marlaska,Ministro del Interior,29 de diciembre de 2023,6 de septiembre de 2024
Óscar Puente,Ministro de Transportes y Movilidad Sostenible,29 de diciembre de 2023,6 de septiembre de 2024
Pilar Alegría,"Ministra de Educación, Formación Profesional y Deportes; y portavoz del Gobierno",29 de diciembre de 2023,6 de septiembre de 2024
Jordi Hereu,Ministro de Industria y Turismo,29 de diciembre de 2023,6 de septiembre de 2024
Luis Planas,"Ministro de Agricultura, Pesca y Alimentación",29 de diciembre de 2023,6 de septiembre de 2024
Ángel Víctor Torres,Ministro de Política Territorial y Memoria Democrática,29 de diciembre de 2023,6 de septiembre de 2024
Isabel Rodríguez,Ministra de Vivienda y Agenda Urbana,29 de diciembre de 2023,6 de septiembre de 2024
Ernest Urtasun,Ministro de Cultura,29 de diciembre de 2023,6 de septiembre de 2024
